2025-07-14 12:03:18.386 INFO  (main) [] o.e.j.s.Server jetty-10.0.17; built: 2023-10-09T18:22:21.150Z; git: af15f12297adf5c5083e1f2f8f4c5974438bca25; jvm 17.0.3.1+2-LTS-6
2025-07-14 12:03:18.899 WARN  (main) [] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2025-07-14 12:03:18.937 INFO  (main) [] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2025-07-14 12:03:18.947 INFO  (main) [] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.4.0
2025-07-14 12:03:18.947 INFO  (main) [] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2025-07-14 12:03:18.947 INFO  (main) [] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0
2025-07-14 12:03:18.947 INFO  (main) [] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2025-07-14T12:03:18.947609Z
2025-07-14 12:03:18.951 INFO  (main) [] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/logs/jvm_crash_4106.log
2025-07-14 12:03:18.984 INFO  (main) [] o.a.s.s.CoreContainerProvider Solr Home: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr (source: system property: solr.solr.home)
2025-07-14 12:03:19.012 INFO  (main) [] o.a.s.c.SolrXmlConfig Loading solr.xml from /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/solr.xml
2025-07-14 12:03:19.074 INFO  (main) [] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/lib]
2025-07-14 12:03:20.235 INFO  (main) [] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2025-07-14 12:03:20.669 WARN  (main) [] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2025-07-14 12:03:20.671 WARN  (main) [] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
